TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
town,"Tappahannock, VA",5177568,VA,-76.86662579435537,37.918412009582006,14.0,44.0,6316680.592532051,21105362.239731565
town,"Brookneal, VA",5110296,VA,-78.94872487184456,37.053205233428955,6.0,21.0,2967953.14380738,9916557.48505967
CDP,"Davis, NC",3716480,NC,-76.46394826138776,34.799851720360266,3.0,8.0,1270589.7583402765,3984693.8392798575
town,"Faison, NC",3722560,NC,-78.13683998148262,35.11648105171013,7.0,20.0,3118449.8050131383,9779763.802260635
town,"Kenbridge, VA",5141832,VA,-78.12838315227974,36.96085844450012,7.0,24.0,3356551.5782777662,11214946.821855707
CDP,"Prices Fork, VA",5164512,VA,-80.48520062622474,37.20701379136904,6.0,20.0,2900144.02101389,9689992.90279996
city,"Rose Creek, MN",2755600,MN,-92.82987468627508,43.60488690687447,2.0,12.0,1129124.6292972357,5551118.438503558
city,"Lexington, NC",3738060,NC,-80.26820506241525,35.801752686175384,124.0,372.0,56676634.95809661,177743474.37181133
CDP,"Cumberland, VA",5120768,VA,-78.2576237299036,37.49145254944904,2.0,7.0,1051041.4032990986,3511751.025025525
village,"Wesley Chapel, NC",3771940,NC,-80.69051661907629,34.99859078568223,51.0,153.0,23367544.197297875,73282905.6671305
CDP,"Central Garage, VA",5114312,VA,-77.1315025176344,37.745769889739485,8.0,25.0,3557370.9034738713,11885926.546240237
CDP,"Clover, VA",5117632,VA,-78.72845624792446,36.83895985950249,3.0,8.0,1176227.4761486189,3930024.0999665298
CDP,"Marshallberg, NC",3741600,NC,-76.51516892156195,34.72655927194383,3.0,8.0,1199174.8773094416,3760729.7827395382
CDP,"Bonnetsville, NC",3706980,NC,-78.39614126306869,34.99928010106439,3.0,9.0,1336053.3992852091,4189994.2244418175
city,"Mapleview, MN",2740346,MN,-92.97409903445643,43.689918893396786,1.0,5.0,491534.35354979173,2416531.6585525437
town,"Union, WV",5481940,WV,-80.54200541676116,37.5904422585229,7.0,31.0,3226783.7842134996,15621583.002668103
town,"Victoria, VA",5181024,VA,-78.22417120158323,36.99467664720097,10.0,33.0,4671005.34319773,15606814.108736265
CDP,"Heathsville, VA",5136216,VA,-76.47847304643354,37.91982468079326,1.0,3.0,378166.26173292624,1263533.2472176203
town,"Rural Hall, NC",3758360,NC,-80.29740428845953,36.22515319333976,20.0,61.0,9283934.53400858,29115327.350241587
CDP,"Buckingham Courthouse, VA",5110856,VA,-78.55142818197865,37.5541264196589,1.0,2.0,341653.6571518161,1141536.9336931605
city,"Elkton, MN",2718728,MN,-92.70648666192564,43.6602663695557,1.0,4.0,381992.4119015524,1877990.317503691
CDP,"Gloucester, NC",3726680,NC,-76.53897554279152,34.729431058060776,4.0,11.0,1606834.8231937927,5039191.272157198
CDP,"Keener, NC",3735340,NC,-78.30934246466894,35.11304946738402,4.0,11.0,1702054.6645682396,5337810.014210957
CDP,"Riverdale, VA",5167352,VA,-78.8942519214709,36.67641679670833,6.0,18.0,2542842.104755883,8496171.834739173
CDP,"Cobb Island, MD",2418200,MD,-76.8495692552655,38.264839489075364,6.0,19.0,2917599.806614158,8654200.448088076
city,"Dexter, MN",2715886,MN,-92.70273913115889,43.7198605878885,2.0,10.0,946554.7265501705,4653549.536755471
CDP,"Hollymead, VA",5138032,VA,-78.43860378705476,38.12658085642748,45.0,144.0,20465314.867712222,68378933.73045978
CDP,"Broad Creek, NC",3708040,NC,-76.92415216545521,34.73048766408151,15.0,46.0,7079000.082181541,22200437.10455921
town,"Clarksville, VA",5116992,VA,-78.56520016133527,36.61998209711948,7.0,21.0,3022722.050679045,10099551.955346359
CDP,"Lansing, MN",2735558,MN,-92.96573218218842,43.7477241564197,1.0,6.0,542092.172772056,2665089.200575091
town,"Alderson, WV",5400772,WV,-80.64361748774314,37.727683136569176,14.0,64.0,6604039.351110531,31971633.606496893
town,"Lewisville, NC",3738040,NC,-80.416503006667,36.10260810175743,82.0,247.0,37534471.221789815,117711775.38331647
town,"Unionville, NC",3769260,NC,-80.51999036585343,35.074472075684255,39.0,118.0,17910257.03852489,56168319.01317439
CDP,"Piney Mountain, VA",5162738,VA,-78.4155472005566,38.15915226753187,7.0,21.0,3001857.7052041255,10029839.776189527
CDP,"Nathalie, VA",5155000,VA,-78.94217465098941,36.93810197880898,1.0,3.0,492920.1618449866,1646950.232580209
CDP,"Spivey's Corner, NC",3763920,NC,-78.48256135689675,35.19822436709114,3.0,10.0,1508639.3617763943,4731240.694414257
CDP,"Rock Point, MD",2467500,MD,-76.84292745617346,38.27553273971914,1.0,2.0,273137.0031723893,810180.4674805859
city,"Stacyville, IA",1974820,IA,-92.78397720074072,43.43903110462684,4.0,28.0,1874869.0428298987,13689497.16569584
town,"South Hill, VA",5173904,VA,-78.12868050556669,36.72542207112996,27.0,86.0,12213466.232381336,40807766.87393185
CDP,"Neuse Forest, NC",3746280,NC,-76.93984063089523,34.96572652009193,14.0,41.0,6278558.290627597,19690173.30416979
village,"Clemmons, NC",3712960,NC,-80.38608476255249,36.03179171795974,125.0,376.0,57176539.125312455,179311222.7675936
CDP,"Hampden-Sydney, VA",5134304,VA,-78.46922916589631,37.24156702313472,9.0,27.0,3909456.7333631483,13062319.569511816
city,"Covington, VA",5119728,VA,-79.9867559546034,37.77861625422561,34.0,109.0,15515248.903787436,51839719.22550086
CDP,"Lexington Park, MD",2446725,MD,-76.44162191126257,38.254317554688186,63.0,184.0,28959971.52726888,85901225.3838734
CDP,"Vann Crossroads, NC",3769755,NC,-78.40264318619072,35.169606819801594,2.0,7.0,999808.3344316931,3135496.791564478
city,"Rudd, IA",1969195,IA,-92.90459204910297,43.127522802977154,3.0,21.0,1398339.827777299,10210083.302748147
CDP,"Cluster Springs, VA",5117776,VA,-78.92209636006115,36.612821989626426,5.0,15.0,2159459.7566542276,7215210.542732344
town,"Bethania, NC",3705340,NC,-80.33760584575145,36.180856809121686,2.0,6.0,961125.273873324,3014182.927605138
town,"Washington Park, NC",3771240,NC,-77.03157151621099,35.5328598059089,3.0,9.0,1347955.8794570148,4227321.567198538
town,"Chase City, VA",5114984,VA,-78.46095082331588,36.799844779484175,13.0,42.0,5977634.9785645995,19972539.32843301
city,"Monroe, NC",3743920,NC,-80.55916008474263,35.00614098245612,215.0,647.0,98442437.8809634,308725120.1051418
city,"Rockford, IA",1968070,IA,-92.94777757134145,43.05241579510341,7.0,49.0,3241961.053226699,23671422.182349056
CDP,"St. George Island, MD",2469425,MD,-76.47684808745758,38.11512218883226,1.0,4.0,645596.5529529201,1914972.0140450213
town,"Walstonburg, NC",3770860,NC,-77.69800547337229,35.59609218784518,1.0,4.0,624880.2090198081,1959685.4947277987
CDP,"Low Moor, VA",5147352,VA,-79.87055834357285,37.79440156031008,1.0,5.0,680699.2711192672,2274359.844991717
town,"Mocksville, NC",3743720,NC,-80.56188948256518,35.90015880873357,34.0,101.0,15386931.24210204,48254922.34874976
CDP,"Ruckersville, VA",5169360,VA,-78.37557808563588,38.231370903603136,7.0,22.0,3082707.0439194404,10299974.470422259
