TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
village,"Pardeeville, WI",5561100,WI,-89.3010930879728,43.535871914480914,17.0,64.0,6145674.965785321,23884801.62899897
CDP,"Loomis, MI",2649400,MI,-84.66591026353554,43.78816070644567,1.0,5.0,531736.4035576221,1829607.8065330733
village,"Albany, WI",5500750,WI,-89.43672122103327,42.7069536631478,9.0,33.0,3151923.1457654242,12249762.557502514
village,"Nashotah, WI",5555550,WI,-88.40387102167341,43.093932310121176,11.0,42.0,4092323.573379743,15904573.101574885
village,"Hesperia, MI",2637860,MI,-86.04069686320774,43.56910512675875,7.0,22.0,2372748.2913467474,8164193.325378714
CDP,"Grand Marsh, WI",5530100,WI,-89.7071643082158,43.885254354994935,1.0,4.0,356604.4434990078,1385922.0411772917
CDP,"Greenleaf, WI",5531375,WI,-88.09704380219506,44.31692606363567,5.0,19.0,1831911.5363618385,7119615.647015601
CDP,"Emerald, WI",5523900,WI,-92.2578431460166,45.08327227345683,1.0,5.0,471638.1349503006,1832993.6673635144
city,"Lodi, WI",5545350,WI,-89.53783339321177,43.315231281567705,25.0,92.0,8886352.664612373,34536283.122885734
village,"South Wayne, WI",5575275,WI,-89.8760934277817,42.56681982091004,4.0,14.0,1368900.9282703847,5320152.351616055
CDP,"Krakow, WI",5540450,WI,-88.26108616709216,44.758506705856675,3.0,11.0,1032427.3807753533,4012467.845021352
CDP,"Packwaukee, WI",5560950,WI,-89.45978955420732,43.765302313090345,2.0,8.0,764974.0481510974,2973026.3141383836
city,"Fremont, MI",2630700,MI,-85.9536760328154,43.4634912457711,29.0,97.0,10416515.490447192,35841326.51194271
village,"Gratiot, WI",5530575,WI,-90.02335389011407,42.58014903842092,2.0,7.0,675822.9372763453,2626545.8038440603
village,"Rosendale, WI",5569525,WI,-88.67321805727921,43.80790077207665,8.0,31.0,3025386.0851690024,11757983.768697668
village,"Arlington, WI",5502800,WI,-89.37252397730484,43.33514804426143,7.0,26.0,2553747.950218701,9924990.101334153
village,"Stockbridge, WI",5577400,WI,-88.31043587083175,44.071635928842426,5.0,19.0,1860669.9592246618,7231383.553562158
village,"Spring Lake, MI",2675820,MI,-86.19399562122572,43.073994807910665,17.0,56.0,5974509.968274792,20557197.146989536
city,"Darlington, WI",5518875,WI,-90.11843764290673,42.67833993197773,20.0,74.0,7140716.396839003,27751971.195509795
city,"Ripon, WI",5568175,WI,-88.8385884787703,43.84355536604512,62.0,231.0,22244640.084393755,86452475.71376088
village,"Argyle, WI",5502650,WI,-89.86590198972416,42.70133328477779,7.0,25.0,2455969.312485102,9544979.219075862
village,"Merrimac, WI",5551325,WI,-89.62732671262381,43.37424234205759,3.0,13.0,1230860.4985288335,4783666.400192588
village,"Sherwood, WI",5573525,WI,-88.2756847676663,44.17648353913078,23.0,84.0,8075365.139880759,31384428.15827286
CDP,"Woodford, WI",5588675,WI,-89.86003014308665,42.64768450967015,1.0,2.0,198433.11775348015,771198.5551712348
village,"Oakfield, WI",5558900,WI,-88.54762779717387,43.68425726369932,9.0,32.0,3117413.038330036,12115641.069646645
village,"Potter, WI",5564675,WI,-88.09882080704755,44.120371041038844,2.0,8.0,759222.3635785328,2950672.732829072
CDP,"Windsor, WI",5587725,WI,-89.33918078260318,43.216203769933635,30.0,112.0,10827546.20785294,42080616.814778246
village,"Durand, IL",1721280,IL,-89.32648782074637,42.43417376184233,12.0,42.0,4258607.171307235,15415128.205579504
city,"Grand Haven, MI",2633340,MI,-86.21998166461661,43.055305768891,72.0,241.0,25789215.57254467,88735978.61685406
city,"New Holstein, WI",5556800,WI,-88.09420976847379,43.94914519811801,27.0,99.0,9590934.02475154,37274596.83327635
city,"Ferrysburg, MI",2627960,MI,-86.22203381938434,43.08505774210326,20.0,68.0,7323916.501831399,25200258.467342332
village,"North Fond Lac, WI",5558000,WI,-88.48608301800688,43.81076628604785,40.0,147.0,14175026.62908556,55090401.13679733
CDP,"Lake Wisconsin, WI",5542012,WI,-89.57641933638584,43.3782070337139,34.0,127.0,12245336.454990122,47590774.60752344
village,"Merton, WI",5551375,WI,-88.30934661651546,43.14225845195259,26.0,95.0,9182564.420099452,35687492.56031526
village,"Hilbert, WI",5534575,WI,-88.16067345951912,44.141965434048586,9.0,34.0,3327349.5252286457,12931546.787436502
city,"Coopersville, MI",2618020,MI,-85.93410278775079,43.06578980908554,30.0,100.0,10667334.548729088,36704349.06219415
village,"Rothbury, MI",2669880,MI,-86.34768522532451,43.50753294854831,3.0,10.0,1091062.9035262528,3754148.0935938065
city,"St. Donatus, IA",1969960,IA,-90.54200287434658,42.36229912729407,1.0,10.0,501295.09978584107,3626501.174024985
city,"Chilton, WI",5514475,WI,-88.16250030230941,44.02931195638519,32.0,120.0,11532127.567992108,44818930.525168866
village,"New Era, MI",2657280,MI,-86.34770203840844,43.55944440233911,3.0,10.0,1096079.284691891,3771408.544598835
village,"Scales Mound, IL",1767925,IL,-90.25110007286965,42.4775179048115,3.0,10.0,1058268.137839839,3830674.763944807
city,"Brillion, WI",5509725,WI,-88.0707860762621,44.175532197910485,26.0,97.0,9323480.692127286,36235155.302393384
village,"Menominee, IL",1748359,IL,-90.54321967390973,42.47217484749364,2.0,7.0,695109.0985811277,2516126.855674203
city,"Whitehall, MI",2686780,MI,-86.3406057332047,43.40026353975889,18.0,62.0,6601557.613979534,22714753.522618156
city,"Galena, IL",1728300,IL,-90.43037869053094,42.4222530397067,27.0,95.0,9620877.360361649,34825249.66363764
CDP,"The Galena Territory, IL",1774970,IL,-90.31586667450581,42.39559220527751,8.0,30.0,2984713.3539075362,10803940.621099027
city,"Roosevelt Park, MI",2669520,MI,-86.27334605313182,43.19814736320152,26.0,87.0,9307895.252841206,32026766.8398313
CDP,"Apple Canyon Lake, IL",1701647,IL,-90.16419864678458,42.4302371426054,4.0,16.0,1568960.5367974024,5679257.7599503435
village,"Ravenna, MI",2667280,MI,-85.94148741603746,43.18885883128516,8.0,28.0,2974714.0312233013,10235447.445982194
village,"Menomonee Falls, WI",5551000,WI,-88.1227216770194,43.14868259555388,290.0,1077.0,103901305.96109398,403806269.5620513
village,"Cobb, WI",5515975,WI,-90.328997048829,42.96642253134528,4.0,14.0,1363149.2436978202,5297798.770306743
city,"Norton Shores, MI",2659140,MI,-86.25191335200152,43.16202486347245,169.0,563.0,60369639.13786984,207720897.62002143
village,"Avoca, WI",5504025,WI,-90.32625780677523,43.1900744891986,5.0,20.0,1903807.5935188965,7399035.413381992
city,"North Muskegon, MI",2658640,MI,-86.27137577150499,43.25164538985438,27.0,91.0,9736795.842503252,33502535.400761276
village,"Muscoda, WI",5555200,WI,-90.43375967611233,43.18731660778289,10.0,39.0,3724215.760735606,14473943.897778973
village,"Montfort, WI",5553950,WI,-90.43313386503912,42.9697686514613,6.0,21.0,2015965.442683907,7834930.24891356
city,"Muskegon Heights, MI",2656360,MI,-86.24207910528114,43.20236765720103,77.0,256.0,27487260.597113114,94578641.28205638
city,"Muskegon, MI",2656320,MI,-86.25597307894672,43.22805717582274,272.0,908.0,97325319.18512459,334878640.1740701
village,"Lannon, WI",5542450,WI,-88.16014390095519,43.15210410249366,9.0,34.0,3255453.468071588,12652127.021070113
village,"Hartland, WI",5533100,WI,-88.34093268463288,43.10177498669811,74.0,276.0,26673437.20526853,103664733.32193048
village,"Elm Grove, WI",5523575,WI,-88.08675129971924,43.047977750842804,48.0,177.0,17050868.915367883,66267191.79145292
city,"Delafield, WI",5519400,WI,-88.39108374485818,43.071771915593,57.0,213.0,20565148.18920488,79925229.97144204
village,"Chenequa, WI",5514225,WI,-88.3836963256249,43.12298296205043,5.0,18.0,1690995.2643340048,6571952.90493748
village,"Butler, WI",5511475,WI,-88.07129101967163,43.108504399360555,15.0,55.0,5285798.122186906,20542941.22325695
city,"Brookfield, WI",5510025,WI,-88.12299689647226,43.063951397244296,307.0,1138.0,109814037.70169044,426785751.1480232
city,"West Allis, WI",5585300,WI,-88.0295763269741,43.00681353140747,491.0,1821.0,175702460.32270467,682857201.836837
city,"Wauwatosa, WI",5584675,WI,-88.0347517539286,43.061582060429075,373.0,1386.0,133749673.05041818,519810179.7667215
city,"Milwaukee, WI",5553000,WI,-87.96724124293965,43.06412589248115,4777.0,17733.0,1710737921.629333,6648681572.78169
village,"Whitefish Bay, WI",5586700,WI,-87.90058136068322,43.113260758353334,114.0,422.0,40753561.038906775,158386300.36712417
village,"West Milwaukee, WI",5585875,WI,-87.97102796535663,43.012378612238116,34.0,128.0,12308604.985288335,47836664.00192586
village,"Shorewood, WI",5573725,WI,-87.88663850745823,43.09132762795185,107.0,396.0,38162427.138966404,148316011.9872795
